DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
PIRAPORA;MG;Operante;-17,258064;-44,835556;505,32;03/07/2007;A545
PIRES DO RIO;GO;Operante;-17,30416666;-48,28416666;757,27;11/10/2007;A033
PIRIPIRI;PI;Operante;-4,276047;-41,794568;157,89;30/08/2007;A335
PIUM;TO;Operante;-10,47694443;-49,62944443;161;05/04/2016;A051
PLACAS;PA;Pane;-3,86416666;-54,21638888;100,45;13/02/2008;A211
PLANALTO;PR;Pane;-25,72194443;-53,74805555;399,1;06/11/2007;A855
POCO VERDE;SE;Pane;-10,73805555;-38,10833333;367,01;02/04/2008;A419
POMPEU;MG;Operante;-19,23249999;-44,96416666;705;20/08/2015;A560
PONTA PORA;MS;Operante;-22,5525;-55,71638888;668;06/09/2001;A703
PONTES E LACERDA;MT;Operante;-15,23444444;-59,3461111;272,53;29/01/2008;A937
PORANGATU;GO;Operante;-13,30944444;-49,11749999;365;03/06/2001;A005
PORTO ALEGRE;RS;Operante;-30,05361111;-51,17472221;41,18;21/09/2000;A801
PORTO DE MOZ;PA;Operante;-1,82194443;-52,11166666;19;06/04/2022;A245
PORTO ESTRELA;MT;Operante;-15,32472221;-57,22583332;147,75;29/05/2008;A935
PORTO GRANDE;AP;Operante;0,69416666;-51,40388888;84,8;16/09/2008;A244
PORTO MURTINHO;MS;Operante;-21,70583333;-57,88666666;78,56;23/10/2006;A723
PORTO SEGURO;BA;Operante;-16,38888888;-39,18249999;86,36;09/07/2008;A427
PORTO VELHO;RO;Operante;-8,7936111;-63,84583333;86,7;10/07/2007;A925
PORTO WALTER;AC;Pane;-8,26722221;-72,74777777;205,35;28/10/2009;A136
POSSE;GO;Operante;-14,08916666;-46,36638888;830;17/04/2007;A017
PRADOPOLIS;SP;Operante;-21,33833333;-48,11388888;540,41;21/04/2008;A747
PREGUICAS;MA;Operante;-2,59222221;-42,7075;4,62;21/11/2008;A218
PRES, KENNEDY;ES;Operante;-21,10083333;-41,03944444;69,12;17/06/2008;A622
PRESIDENTE FIGUEIREDO;AM;Pane;-2,05666666;-60,02583332;60,99;18/04/2008;A126
PRESIDENTE PRUDENTE;SP;Operante;-22,11999999;-51,40861111;431,92;03/02/2003;A707
PRIMAVERA DO LESTE;MT;Operante;-15,57999999;-54,3811111;680;25/10/2017;A923
QUARAI;RS;Operante;-30,368578;-56,437115;113,05;16/10/2007;A831
QUEIMADAS;BA;Operante;-10,98472221;-39,61694443;310,11;22/05/2008;A436
QUIXADA;CE;Pane;-4,97888888;-39,05722222;193;19/03/2018;A369
